School, Room, Asset, Serial Number, Model, Physical Status, Assignment Status
FHS,None,6566,HY3A91BF608903,Samsung Chromebook,Good,Unassigned
FHS,None,7125,HY3A91BF607771,Samsung Chromebook,Good,Unassigned
FHS,None,5107,HY3A91KD746035,Samsung Chromebook,Good,Unassigned
FHS,None,6851,HY3A91AF609262,Samsung Chromebook,Good,Unassigned
FHS,None,6487,HY3A91BF608501,Samsung Chromebook,Good,Unassigned
FHS,None,6434,HY3A91BF609019,Samsung Chromebook,Good,Unassigned
FHS,None,6665,HY3A91BF607543,Samsung Chromebook,Good,Unassigned
FHS,None,7015,HY3A91BF608878,Samsung Chromebook,Good,Unassigned
FHS,None,7166,HY3A91BF608731,Samsung Chromebook,Good,Unassigned
FHS,None,2801,HY3A91ND212397,Samsung Chromebook,Good,Unassigned
FHS,None,6623,0UG99FBF601662,Samsung Chromebook,Good,Unassigned
FHS,None,6809,HY3A91BF608798,Samsung Chromebook,Good,Unassigned
FHS,None,7048,HY3A91BF607682,Samsung Chromebook,Good,Unassigned
FHS,None,5122,HY3A91KD746053,Samsung Chromebook,Good,Unassigned
FHS,None,5150,HY3A91KD745872,Samsung Chromebook,Good,Unassigned
FHS,None,6911,HY3A91BF607217,Samsung Chromebook,Good,Unassigned
FHS,None,6629,HY3A91BF608785,Samsung Chromebook,Good,Unassigned
FHS,None,6498,HY3A91BF607570,Samsung Chromebook,Good,Unassigned
FHS,None,6641,HY3A91BF608786,Samsung Chromebook,Good,Unassigned
FHS,None,2754,HY3A91ND212339,Samsung Chromebook,Good,Unassigned
FHS,None,6855,HY3A91AF609278,Samsung Chromebook,Good,Unassigned
FHS,None,6551,HY3A91BF607053,Samsung Chromebook,Good,Unassigned
FHS,None,6808,HY3A91BF608760,Samsung Chromebook,Good,Unassigned
FHS,None,6464,HY3A91BF607881,Samsung Chromebook,Good,Unassigned
FHS,None,7171,HY3A91BF608430,Samsung Chromebook,Good,Unassigned
FHS,None,7002,HY3A91BF609038,Samsung Chromebook,Good,Unassigned
FHS,None,5877,HY3A91KD745835,Samsung Chromebook,Good,Unassigned
FHS,None,6615,HY3A91AF604804,Samsung Chromebook,Good,Unassigned
FHS,None,6793,HY3A91BF608755,Samsung Chromebook,Good,Unassigned
FHS,None,6910,HY3A91BF607368,Samsung Chromebook,Good,Unassigned
FHS,None,7165,HY3A91BF608871,Samsung Chromebook,Good,Unassigned
FHS,None,5975,HY3A91IDC03269,Samsung Chromebook,Good,Unassigned
FHS,None,5152,HY3A91KD746248,Samsung Chromebook,Good,Unassigned
FHS,None,6570,HY3A91BF608942,Samsung Chromebook,Good,Unassigned
FHS,None,8414,G5NXCX04334021C,ASUS Chromebook C202SA,Good,Unassigned
FHS,None,6823,HY3A91BF607714,Samsung Chromebook,Good,Unassigned
FHS,None,5574,HY3A91TD630156,Samsung Chromebook,Good,Unassigned
FHS,None,2739,HY3A91ND212017,Samsung Chromebook,Good,Unassigned
FHS,None,6547,HY3A91BF607083,Samsung Chromebook,Good,Unassigned
FHS,None,6864,HY3A91BF607571,Samsung Chromebook,Good,Unassigned
FHS,None,7167,HY3A91BF608888,Samsung Chromebook,Good,Unassigned
FHS,None,6429,HY3A91AF608940,Samsung Chromebook,Good,Unassigned
FHS,None,6537,0UG99FBF602095,Samsung Chromebook,Good,Unassigned
FHS,None,6743,HY3A91AF609150,Samsung Chromebook,Good,Unassigned
FHS,None,6578,HY3A91AF609564,Samsung Chromebook,Good,Unassigned
FHS,None,6591,0UG99FBF600242,Samsung Chromebook,Good,Unassigned
FHS,None,6490,HY3A91BF608622,Samsung Chromebook,Good,Unassigned
FHS,None,6492,HY3A91BF608483,Samsung Chromebook,Good,Unassigned
FHS,None,7160,HY3A91BF608666,Samsung Chromebook,Good,Unassigned
FHS,None,6587,HY3A91BF608827,Samsung Chromebook,Good,Unassigned
FHS,None,6577,HY3A91AF609541,Samsung Chromebook,Good,Unassigned
FHS,None,6761,HY3A91BF609023,Samsung Chromebook,Good,Unassigned
FHS,None,5588,HY3A91JD704275,Samsung Chromebook,Good,Unassigned
FHS,None,7004,HY3A91BF608898,Samsung Chromebook,Good,Unassigned
FHS,None,6493,HY3A91BF608305,Samsung Chromebook,Good,Unassigned
FHS,None,7229,HY3A91AF609008,Samsung Chromebook,Good,Unassigned
FHS,None,6425,HY3A91AF609153,Samsung Chromebook,Good,Unassigned
FHS,None,7023,HY3A91AF604489,Samsung Chromebook,Good,Unassigned
FHS,None,6342,HY3A91AF415467,Samsung Chromebook,Good,Unassigned
FHS,None,7285,HY3A91FF701911,Samsung Chromebook,Good,Unassigned
FHS,None,4035,HY3A91ND726883,Samsung Chromebook,Good,Unassigned
FHS,None,7270,0UG99FBF703393,Samsung Chromebook,Good,Unassigned
FHS,None,7201,HY3A91BF608327,Samsung Chromebook,Good,Unassigned
FHS,None,6837,HY3A91BF609032,Samsung Chromebook,Good,Unassigned
FHS,None,5571,HY3A91JD704340,Samsung Chromebook,Good,Unassigned
FHS,None,6565,HY3A91BF608793,Samsung Chromebook,Good,Unassigned
FHS,None,6840,HY3A91BF609014,Samsung Chromebook,Good,Unassigned
FHS,None,7186,HY3A91BF608361,Samsung Chromebook,Good,Unassigned
FHS,None,7120,HY3A91AF609023,Samsung Chromebook,Good,Unassigned
FHS,None,6776,HY3A91BF608818,Samsung Chromebook,Good,Unassigned
FHS,None,6461,HY3A91AF604653,Samsung Chromebook,Good,Unassigned
FHS,None,6495,HY3A91BF608314,Samsung Chromebook,Good,Unassigned
FHS,None,7073,HY3A91AF609800,Samsung Chromebook,Good,Unassigned
FHS,None,6421,HY3A91BF607447,Samsung Chromebook,Good,Unassigned
FHS,None,6678,HY3A91AF604480,Samsung Chromebook,Good,Unassigned
FHS,None,5565,HY3A91JD704605,Samsung Chromebook,Good,Unassigned
FHS,None,7161,HY3A91BF608885,Samsung Chromebook,Good,Unassigned
FHS,None,6683,HY3A91AF608709,Samsung Chromebook,Good,Unassigned
FHS,None,7133,HY3A91BF608998,Samsung Chromebook,Good,Unassigned
FHS,None,6694,HY3A91BF607903,Samsung Chromebook,Good,Unassigned
FHS,None,7276,HY3A91BF709020,Samsung Chromebook,Good,Unassigned
FHS,None,6664,HY3A91AF609075,Samsung Chromebook,Good,Unassigned
FHS,None,7051,HY3A91BF608531,Samsung Chromebook,Good,Unassigned
FHS,None,6504,HY3A91BF607049,Samsung Chromebook,Good,Unassigned
FHS,None,6540,HY3A91BF607159,Samsung Chromebook,Good,Unassigned
FHS,None,7101,HY3A91BF608676,Samsung Chromebook,Good,Unassigned
FHS,None,6667,HY3A91AF609277,Samsung Chromebook,Good,Unassigned
FHS,None,6782,HY3A91BF608722,Samsung Chromebook,Good,Unassigned
FHS,None,6435,HY3A91BF609050,Samsung Chromebook,Good,Unassigned
